sentence,tokens,labels
"The third stage was completed in conjunction with Elliot 's refurbishment of Building 1 ( Francis Ormond Building ) in 2010 , and included the creation of a lawned common area named University Lawn at the southern end of University Way","['The' 'third' 'stage' 'was' 'completed' 'in' 'conjunction' 'with'
 'Elliot' ""'s"" 'refurbishment' 'of' 'Building' '1' '(' 'Francis' 'Ormond'
 'Building' ')' 'in' '2010' ',' 'and' 'included' 'the' 'creation' 'of' 'a'
 'lawned' 'common' 'area' 'named' 'University' 'Lawn' 'at' 'the'
 'southern' 'end' 'of' 'University' 'Way']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
"Henderson was born in Washington D.C . , but moved to Beatrice , Nebraska as a young child .","['Henderson' 'was' 'born' 'in' 'Washington' 'D.C' '.' ',' 'but' 'moved'
 'to' 'Beatrice' ',' 'Nebraska' 'as' 'a' 'young' 'child' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Africa contains depictions of the Atlas mountains and the Nile river , with mention of the territory of Prester John ( `` Pre .","['Africa' 'contains' 'depictions' 'of' 'the' 'Atlas' 'mountains' 'and'
 'the' 'Nile' 'river' ',' 'with' 'mention' 'of' 'the' 'territory' 'of'
 'Prester' 'John' '(' '``' 'Pre' '.']",[0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Climbing K2, the second-highest peak in the world, is a formidable challenge for even the most seasoned mountaineers, requiring meticulous planning and physical endurance.","['Climbing' 'K2' ',' 'the' 'second' '-' 'highest' 'peak' 'in' 'the'
 'world' ',' 'is' 'a' 'formidable' 'challenge' 'for' 'even' 'the' 'most'
 'seasoned' 'mountaineers' ',' 'requiring' 'meticulous' 'planning' 'and'
 'physical' 'endurance' '.']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Shiveluch began forming about 60,000 to 70,000 years ago , and it has had at least 60 large eruptions during the Holocene .","['Shiveluch' 'began' 'forming' 'about' '60,000' 'to' '70,000' 'years'
 'ago' ',' 'and' 'it' 'has' 'had' 'at' 'least' '60' 'large' 'eruptions'
 'during' 'the' 'Holocene' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The highest mountain on or adjacent to the Tropic of Cancer is Yu Shan in Taiwan ; though it had glaciers descending as low as during the Last Glacial Maximum , none survive and at present no glaciers exist within of the Tropic of Cancer ; the nearest currently surviving are the Minyong and Baishui in the Himalayas to the north and on Iztaccíhuatl to the south .","['The' 'highest' 'mountain' 'on' 'or' 'adjacent' 'to' 'the' 'Tropic' 'of'
 'Cancer' 'is' 'Yu' 'Shan' 'in' 'Taiwan' ';' 'though' 'it' 'had'
 'glaciers' 'descending' 'as' 'low' 'as' 'during' 'the' 'Last' 'Glacial'
 'Maximum' ',' 'none' 'survive' 'and' 'at' 'present' 'no' 'glaciers'
 'exist' 'within' 'of' 'the' 'Tropic' 'of' 'Cancer' ';' 'the' 'nearest'
 'currently' 'surviving' 'are' 'the' 'Minyong' 'and' 'Baishui' 'in' 'the'
 'Himalayas' 'to' 'the' 'north' 'and' 'on' 'Iztaccíhuatl' 'to' 'the'
 'south' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0]"
"In the second half , goals from Kevin Kyle , Julian Gray and Michael Mifsud tied up an easy win for the sky blues .","['In' 'the' 'second' 'half' ',' 'goals' 'from' 'Kevin' 'Kyle' ',' 'Julian'
 'Gray' 'and' 'Michael' 'Mifsud' 'tied' 'up' 'an' 'easy' 'win' 'for' 'the'
 'sky' 'blues' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"KUMA traces its roots to the first radio station to broadcast from Flagstaff , Arizona , KFXY , which went on air December 10 , 1925 .","['KUMA' 'traces' 'its' 'roots' 'to' 'the' 'first' 'radio' 'station' 'to'
 'broadcast' 'from' 'Flagstaff' ',' 'Arizona' ',' 'KFXY' ',' 'which'
 'went' 'on' 'air' 'December' '10' ',' '1925' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Mýrdalsjökull ( pronounced , Icelandic for `` ( the ) mire dale glacier '' or `` ( the ) mire valley glacier '' ) is an ice cap in the south of Iceland .","['Mýrdalsjökull' '(' 'pronounced' ',' 'Icelandic' 'for' '``' '(' 'the' ')'
 'mire' 'dale' 'glacier' ""''"" 'or' '``' '(' 'the' ')' 'mire' 'valley'
 'glacier' ""''"" ')' 'is' 'an' 'ice' 'cap' 'in' 'the' 'south' 'of'
 'Iceland' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The PDL traces its roots in the National Salvation Front ( FSN ) , the body which , under the leadership of Ion Iliescu , seized power during the Romanian Revolution of 1989 which ended the Communist regime .","['The' 'PDL' 'traces' 'its' 'roots' 'in' 'the' 'National' 'Salvation'
 'Front' '(' 'FSN' ')' ',' 'the' 'body' 'which' ',' 'under' 'the'
 'leadership' 'of' 'Ion' 'Iliescu' ',' 'seized' 'power' 'during' 'the'
 'Romanian' 'Revolution' 'of' '1989' 'which' 'ended' 'the' 'Communist'
 'regime' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
"Although the post of the court calligrapher was established during the reign of Orhan ( 1324–1361 ) , the name nişancı came into use during the reign of Murat II ( 1421–1451 ) .","['Although' 'the' 'post' 'of' 'the' 'court' 'calligrapher' 'was'
 'established' 'during' 'the' 'reign' 'of' 'Orhan' '(' '1324–1361' ')' ','
 'the' 'name' 'nişancı' 'came' 'into' 'use' 'during' 'the' 'reign' 'of'
 'Murat' 'II' '(' '1421–1451' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Al-Kaafi is one of the marvels of Islamic literature .,"['Al-Kaafi' 'is' 'one' 'of' 'the' 'marvels' 'of' 'Islamic' 'literature'
 '.']",[0 0 0 0 0 0 0 0 0 0]
"Maury Street Marker , Jefferson Davis Highway is a historic route marker located on U.S. Route 1 , or Jefferson Davis Highway , in Richmond , Virginia .","['Maury' 'Street' 'Marker' ',' 'Jefferson' 'Davis' 'Highway' 'is' 'a'
 'historic' 'route' 'marker' 'located' 'on' 'U.S.' 'Route' '1' ',' 'or'
 'Jefferson' 'Davis' 'Highway' ',' 'in' 'Richmond' ',' 'Virginia' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Malai District ( , `` Mountains of Malaya `` ) is a district ( `` srok '' ) in the south west of Banteay Meanchey Province , in north-western Cambodia .","['Malai' 'District' '(' ',' '``' 'Mountains' 'of' 'Malaya' '``' ')' 'is'
 'a' 'district' '(' '``' 'srok' ""''"" ')' 'in' 'the' 'south' 'west' 'of'
 'Banteay' 'Meanchey' 'Province' ',' 'in' 'north-western' 'Cambodia' '.']",[0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Albright 's philanthropic endeavors include performances raising money at Harvard for Haiti after the major earthquake in 2010 .,"['Albright' ""'s"" 'philanthropic' 'endeavors' 'include' 'performances'
 'raising' 'money' 'at' 'Harvard' 'for' 'Haiti' 'after' 'the' 'major'
 'earthquake' 'in' '2010' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"In 52 BC as a consular senator Bibulus proposed an unconstitutional and illegal resolution , which the Senate accepted , allowing Pompey to serve as sole consul to deal with the breakdown of order in Rome after the murder of Publius Clodius .","['In' '52' 'BC' 'as' 'a' 'consular' 'senator' 'Bibulus' 'proposed' 'an'
 'unconstitutional' 'and' 'illegal' 'resolution' ',' 'which' 'the'
 'Senate' 'accepted' ',' 'allowing' 'Pompey' 'to' 'serve' 'as' 'sole'
 'consul' 'to' 'deal' 'with' 'the' 'breakdown' 'of' 'order' 'in' 'Rome'
 'after' 'the' 'murder' 'of' 'Publius' 'Clodius' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
"In the late 1980s , she donated funds for the construction of the California Academy of Mathematics and Science , a magnet school operated on the campus of California State University , Dominguez Hills .","['In' 'the' 'late' '1980s' ',' 'she' 'donated' 'funds' 'for' 'the'
 'construction' 'of' 'the' 'California' 'Academy' 'of' 'Mathematics' 'and'
 'Science' ',' 'a' 'magnet' 'school' 'operated' 'on' 'the' 'campus' 'of'
 'California' 'State' 'University' ',' 'Dominguez' 'Hills' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
"Its headwaters flow from Zupjok Peak and other high mountains such as Llama Peak , Alpaca Peak , Vicuña Peak , and Guanaco Peak .","['Its' 'headwaters' 'flow' 'from' 'Zupjok' 'Peak' 'and' 'other' 'high'
 'mountains' 'such' 'as' 'Llama' 'Peak' ',' 'Alpaca' 'Peak' ',' 'Vicuña'
 'Peak' ',' 'and' 'Guanaco' 'Peak' '.']",[0 0 0 0 1 2 0 0 0 0 0 0 1 2 2 2 2 2 2 2 0 0 1 2 0]
"Brigadier General Churchill was placed in command of both his own division and Brigadier General Parson 's Division during the pursuit of the enemy from Mansfield to Pleasant Hill , Louisiana , so Brigadier General Tappan assumed command of Churchill 's Division .","['Brigadier' 'General' 'Churchill' 'was' 'placed' 'in' 'command' 'of'
 'both' 'his' 'own' 'division' 'and' 'Brigadier' 'General' 'Parson' ""'s""
 'Division' 'during' 'the' 'pursuit' 'of' 'the' 'enemy' 'from' 'Mansfield'
 'to' 'Pleasant' 'Hill' ',' 'Louisiana' ',' 'so' 'Brigadier' 'General'
 'Tappan' 'assumed' 'command' 'of' 'Churchill' ""'s"" 'Division' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
"The game was the final contest of the 1989 NCAA Division I-A football season for both teams , and ended in a 31–21 victory for Illinois .","['The' 'game' 'was' 'the' 'final' 'contest' 'of' 'the' '1989' 'NCAA'
 'Division' 'I-A' 'football' 'season' 'for' 'both' 'teams' ',' 'and'
 'ended' 'in' 'a' '31–21' 'victory' 'for' 'Illinois' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"In Oregon , the grape is found in the American Viticultural Areas of the Chehalem Mountains , Eola-Amity Hills , Willamette Valley and Umpqua Valley .","['In' 'Oregon' ',' 'the' 'grape' 'is' 'found' 'in' 'the' 'American'
 'Viticultural' 'Areas' 'of' 'the' 'Chehalem' 'Mountains' ',' 'Eola-Amity'
 'Hills' ',' 'Willamette' 'Valley' 'and' 'Umpqua' 'Valley' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 2 0 0 0 0 0 0 0]
"Leo & amp ; Ian won the 1962 Bathurst Six Hour Classic at Mount Panorama driving a Daimler SP250 sports car , ( that year the 500 mile race for touring cars were held at Phillip Island )","['Leo' '&' 'amp' ';' 'Ian' 'won' 'the' '1962' 'Bathurst' 'Six' 'Hour'
 'Classic' 'at' 'Mount' 'Panorama' 'driving' 'a' 'Daimler' 'SP250'
 'sports' 'car' ',' '(' 'that' 'year' 'the' '500' 'mile' 'race' 'for'
 'touring' 'cars' 'were' 'held' 'at' 'Phillip' 'Island' ')']","[0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
"In 1960 , Jack Rains earned a Bachelor of Business Administration degree from Texas A & amp ; M University , and named a `` Distinguished Alumnus '' , in 1987 .","['In' '1960' ',' 'Jack' 'Rains' 'earned' 'a' 'Bachelor' 'of' 'Business'
 'Administration' 'degree' 'from' 'Texas' 'A' '&' 'amp' ';' 'M'
 'University' ',' 'and' 'named' 'a' '``' 'Distinguished' 'Alumnus' ""''""
 ',' 'in' '1987' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"While at College , Smith was the president of the Young Women 's Christian Association from 1894 to 1895 and assistant at Northwestern University Library from 1896 to 1898 .","['While' 'at' 'College' ',' 'Smith' 'was' 'the' 'president' 'of' 'the'
 'Young' 'Women' ""'s"" 'Christian' 'Association' 'from' '1894' 'to' '1895'
 'and' 'assistant' 'at' 'Northwestern' 'University' 'Library' 'from'
 '1896' 'to' '1898' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Karst topography is especially prominent in the Dinaric Alps .,"['Karst' 'topography' 'is' 'especially' 'prominent' 'in' 'the' 'Dinaric'
 'Alps' '.']",[0 0 0 0 0 0 0 1 2 0]
"The Kadisha Valley , below the town , became the spiritual center of the Maronite Church .","['The' 'Kadisha' 'Valley' ',' 'below' 'the' 'town' ',' 'became' 'the'
 'spiritual' 'center' 'of' 'the' 'Maronite' 'Church' '.']",[1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Baiame flattened the top of Mount Yengo when he jumped skyward and the flat top is still visible today .,"['Baiame' 'flattened' 'the' 'top' 'of' 'Mount' 'Yengo' 'when' 'he'
 'jumped' 'skyward' 'and' 'the' 'flat' 'top' 'is' 'still' 'visible'
 'today' '.']",[0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
"During this period of ownership , twenty more restaurants were added to the chain and , in May 2007 they , along with five Belgo and Bierodrome restaurants , were acquired by Tragus Group Ltd for £140m , owner of the brands Cafe Rouge , Bella Italia , Potters Bar & amp ; Kitchen and Huxleys .","['During' 'this' 'period' 'of' 'ownership' ',' 'twenty' 'more'
 'restaurants' 'were' 'added' 'to' 'the' 'chain' 'and' ',' 'in' 'May'
 '2007' 'they' ',' 'along' 'with' 'five' 'Belgo' 'and' 'Bierodrome'
 'restaurants' ',' 'were' 'acquired' 'by' 'Tragus' 'Group' 'Ltd' 'for'
 '£140m' ',' 'owner' 'of' 'the' 'brands' 'Cafe' 'Rouge' ',' 'Bella'
 'Italia' ',' 'Potters' 'Bar' '&' 'amp' ';' 'Kitchen' 'and' 'Huxleys' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"In February 2007 , the Women 's Library collections were designated by the Museums , Libraries and Archives Council for their `` outstanding national and international importance '' ( the Designation Scheme is now overseen by the Arts Council ) .","['In' 'February' '2007' ',' 'the' 'Women' ""'s"" 'Library' 'collections'
 'were' 'designated' 'by' 'the' 'Museums' ',' 'Libraries' 'and' 'Archives'
 'Council' 'for' 'their' '``' 'outstanding' 'national' 'and'
 'international' 'importance' ""''"" '(' 'the' 'Designation' 'Scheme' 'is'
 'now' 'overseen' 'by' 'the' 'Arts' 'Council' ')' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
"The team of climbers from the local expedition club was relieved to have successfully summited Annapurna IV last weekend, after weeks of preparation and acclimatization.","['The' 'team' 'of' 'climbers' 'from' 'the' 'local' 'expedition' 'club'
 'was' 'relieved' 'to' 'have' 'successfully' 'summited' 'Annapurna' 'IV'
 'last' 'weekend' ',' 'after' 'weeks' 'of' 'preparation' 'and'
 'acclimatization' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0]
Mount Buke Levu is the highest mountain on Kadavu Island in Fiji .,"['Mount' 'Buke' 'Levu' 'is' 'the' 'highest' 'mountain' 'on' 'Kadavu'
 'Island' 'in' 'Fiji' '.']",[1 2 2 0 0 0 0 0 0 0 0 0 0]
A S & amp ; S Screaming Swing took the Doo Wopper 's former space on Adventure Pier .,"['A' 'S' '&' 'amp' ';' 'S' 'Screaming' 'Swing' 'took' 'the' 'Doo' 'Wopper'
 ""'s"" 'former' 'space' 'on' 'Adventure' 'Pier' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Marcel LaFollette says of the program , `` It enjoyed consistent praise , awards , and high ratings throughout its history .","['Marcel' 'LaFollette' 'says' 'of' 'the' 'program' ',' '``' 'It' 'enjoyed'
 'consistent' 'praise' ',' 'awards' ',' 'and' 'high' 'ratings'
 'throughout' 'its' 'history' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"In response , Elby 's cancelled all ties to Frisch 's and operated independently of Big Boy in Ohio , including in direct competition to Frisch 's in the Columbus market .","['In' 'response' ',' 'Elby' ""'s"" 'cancelled' 'all' 'ties' 'to' 'Frisch'
 ""'s"" 'and' 'operated' 'independently' 'of' 'Big' 'Boy' 'in' 'Ohio' ','
 'including' 'in' 'direct' 'competition' 'to' 'Frisch' ""'s"" 'in' 'the'
 'Columbus' 'market' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0]
"The Düssi is surrounded by glaciers , the Ober Hüfifirn on its northern side .","['The' 'Düssi' 'is' 'surrounded' 'by' 'glaciers' ',' 'the' 'Ober'
 'Hüfifirn' 'on' 'its' 'northern' 'side' '.']",[0 1 0 0 0 0 0 0 1 2 0 0 0 0 0]
He played 45 minutes in the second half of the friendly between Bulgaria and Serbia in November 2008 .,"['He' 'played' '45' 'minutes' 'in' 'the' 'second' 'half' 'of' 'the'
 'friendly' 'between' 'Bulgaria' 'and' 'Serbia' 'in' 'November' '2008' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The Grande Tête de By is a mountain of the Pennine Alps , located on the border between Italy and Switzerland .","['The' 'Grande' 'Tête' 'de' 'By' 'is' 'a' 'mountain' 'of' 'the' 'Pennine'
 'Alps' ',' 'located' 'on' 'the' 'border' 'between' 'Italy' 'and'
 'Switzerland' '.']",[0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0]
"He was the recipient of the 2012 IEEE Internet Award `` For contributions to Internet multicast , telephony , congestion control and the shaping of open Internet standards and open-source systems in all these areas .","['He' 'was' 'the' 'recipient' 'of' 'the' '2012' 'IEEE' 'Internet' 'Award'
 '``' 'For' 'contributions' 'to' 'Internet' 'multicast' ',' 'telephony'
 ',' 'congestion' 'control' 'and' 'the' 'shaping' 'of' 'open' 'Internet'
 'standards' 'and' 'open-source' 'systems' 'in' 'all' 'these' 'areas' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The alpine glacier is a popular mountaineering route for ice climbing and for access to the summit of Middle Teton and other peaks to the south .,"['The' 'alpine' 'glacier' 'is' 'a' 'popular' 'mountaineering' 'route'
 'for' 'ice' 'climbing' 'and' 'for' 'access' 'to' 'the' 'summit' 'of'
 'Middle' 'Teton' 'and' 'other' 'peaks' 'to' 'the' 'south' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0]
Loboda and Drozd ended their partnership by July 2018 .,"['Loboda' 'and' 'Drozd' 'ended' 'their' 'partnership' 'by' 'July' '2018'
 '.']",[0 0 0 0 0 0 0 0 0 0]
"Harney sent Captain George E. Pickett and troops to San Juan Island , precipitating the Pig War with British forces .","['Harney' 'sent' 'Captain' 'George' 'E.' 'Pickett' 'and' 'troops' 'to'
 'San' 'Juan' 'Island' ',' 'precipitating' 'the' 'Pig' 'War' 'with'
 'British' 'forces' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
However events overtook the project and the opportunity to work in Japan saw the prospect of live work recede .,"['However' 'events' 'overtook' 'the' 'project' 'and' 'the' 'opportunity'
 'to' 'work' 'in' 'Japan' 'saw' 'the' 'prospect' 'of' 'live' 'work'
 'recede' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"With most tourist taking a full four days visiting Central Florida , Disney World added Epcot to its passes , resulting in three days being filled , thus tourists usually only had one day to visit other venues and usually selected Sea World , Busch Gardens and/or Wet ' n Wild over Circus World .","['With' 'most' 'tourist' 'taking' 'a' 'full' 'four' 'days' 'visiting'
 'Central' 'Florida' ',' 'Disney' 'World' 'added' 'Epcot' 'to' 'its'
 'passes' ',' 'resulting' 'in' 'three' 'days' 'being' 'filled' ',' 'thus'
 'tourists' 'usually' 'only' 'had' 'one' 'day' 'to' 'visit' 'other'
 'venues' 'and' 'usually' 'selected' 'Sea' 'World' ',' 'Busch' 'Gardens'
 'and/or' 'Wet' ""'"" 'n' 'Wild' 'over' 'Circus' 'World' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"The daughter of a Foreign Service officer , Chapin spent years living in Brazil , Ethiopia , and Guatemala .","['The' 'daughter' 'of' 'a' 'Foreign' 'Service' 'officer' ',' 'Chapin'
 'spent' 'years' 'living' 'in' 'Brazil' ',' 'Ethiopia' ',' 'and'
 'Guatemala' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
In the Old Graveyard there is a Calvary Hill along with a `` Heilig-Grab-Kapelle `` ( `` Holy Sepulchre Chapel `` ) oriented towards the Church of the Holy Sepulchre in Jerusalem .,"['In' 'the' 'Old' 'Graveyard' 'there' 'is' 'a' 'Calvary' 'Hill' 'along'
 'with' 'a' '``' 'Heilig-Grab-Kapelle' '``' '(' '``' 'Holy' 'Sepulchre'
 'Chapel' '``' ')' 'oriented' 'towards' 'the' 'Church' 'of' 'the' 'Holy'
 'Sepulchre' 'in' 'Jerusalem' '.']",[0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"According to his `` vida '' Peire passed `` a long time '' at the courts of Alfonso , William VIII of Montpellier , and a certain `` Count Raymond `` , which could refer to either Raymond V of Toulouse or , more probably , Raymond VI .","['According' 'to' 'his' '``' 'vida' ""''"" 'Peire' 'passed' '``' 'a' 'long'
 'time' ""''"" 'at' 'the' 'courts' 'of' 'Alfonso' ',' 'William' 'VIII' 'of'
 'Montpellier' ',' 'and' 'a' 'certain' '``' 'Count' 'Raymond' '``' ','
 'which' 'could' 'refer' 'to' 'either' 'Raymond' 'V' 'of' 'Toulouse' 'or'
 ',' 'more' 'probably' ',' 'Raymond' 'VI' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
The mutual influence and interaction of cultures of Bolivia have resulted in modern Bolivian society becoming one of prime examples of a melting pot according to some anthropologists .,"['The' 'mutual' 'influence' 'and' 'interaction' 'of' 'cultures' 'of'
 'Bolivia' 'have' 'resulted' 'in' 'modern' 'Bolivian' 'society' 'becoming'
 'one' 'of' 'prime' 'examples' 'of' 'a' 'melting' 'pot' 'according' 'to'
 'some' 'anthropologists' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Eugenides places the village high on the slope of Mount Olympos , above the city of Bursa , and describes incestuous marriages between cousins as a quietly accepted custom among the villagers .","['Eugenides' 'places' 'the' 'village' 'high' 'on' 'the' 'slope' 'of'
 'Mount' 'Olympos' ',' 'above' 'the' 'city' 'of' 'Bursa' ',' 'and'
 'describes' 'incestuous' 'marriages' 'between' 'cousins' 'as' 'a'
 'quietly' 'accepted' 'custom' 'among' 'the' 'villagers' '.']",[0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The Appalachian Trail , which traverses the ridge of Kittatinny Mountain in New Jersey , and Blue Mountain in Pennsylvania , crosses the Delaware River at the Delaware Water Gap near Columbia , New Jersey .","['The' 'Appalachian' 'Trail' ',' 'which' 'traverses' 'the' 'ridge' 'of'
 'Kittatinny' 'Mountain' 'in' 'New' 'Jersey' ',' 'and' 'Blue' 'Mountain'
 'in' 'Pennsylvania' ',' 'crosses' 'the' 'Delaware' 'River' 'at' 'the'
 'Delaware' 'Water' 'Gap' 'near' 'Columbia' ',' 'New' 'Jersey' '.']",[0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The Santa Susana stagecoach road was the main route for mail and travelers between Los Angeles and the rest of Southern California northwest to Simi Valley , Santa Barbara , and the San Francisco Bay Area from 1861 until 1876 , when the rail connections began between Los Angeles and the S an Francisco Bay Area through the Newhall Pass opened .","['The' 'Santa' 'Susana' 'stagecoach' 'road' 'was' 'the' 'main' 'route'
 'for' 'mail' 'and' 'travelers' 'between' 'Los' 'Angeles' 'and' 'the'
 'rest' 'of' 'Southern' 'California' 'northwest' 'to' 'Simi' 'Valley' ','
 'Santa' 'Barbara' ',' 'and' 'the' 'San' 'Francisco' 'Bay' 'Area' 'from'
 '1861' 'until' '1876' ',' 'when' 'the' 'rail' 'connections' 'began'
 'between' 'Los' 'Angeles' 'and' 'the' 'S' 'an' 'Francisco' 'Bay' 'Area'
 'through' 'the' 'Newhall' 'Pass' 'opened' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
A proposal was made to American Motors to build the Rambler American under licence .,"['A' 'proposal' 'was' 'made' 'to' 'American' 'Motors' 'to' 'build' 'the'
 'Rambler' 'American' 'under' 'licence' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"With the Phillies , he advanced to his first World Series , in which he pitched well , giving up no runs in Philadelphia 's loss to the New York Yankees .","['With' 'the' 'Phillies' ',' 'he' 'advanced' 'to' 'his' 'first' 'World'
 'Series' ',' 'in' 'which' 'he' 'pitched' 'well' ',' 'giving' 'up' 'no'
 'runs' 'in' 'Philadelphia' ""'s"" 'loss' 'to' 'the' 'New' 'York' 'Yankees'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
